source_id,topic_id,type,title_or_work,person_or_org,url_or_ref,relevance,status,added_utc,notes
R-SRC-001,R-TOPIC-003,repo,asupersync,Jeffrey Emanuel (Dicklesworthstone),https://github.com/Dicklesworthstone/asupersync,High-priority reference for resilient agentic tooling and sync architecture,screened,2026-02-22T00:00:00Z,Deep-dive internal run completed in research/runs/20260222-084640-run3-asupersync-deep-dive-internal
R-SRC-002,R-TOPIC-003,person,Jeffrey Emanuel GitHub profile,Jeffrey Emanuel (Dicklesworthstone),https://github.com/Dicklesworthstone,Track adjacent projects patterns and implementation notes relevant to agentic coding tooling,pending,2026-02-22T00:00:00Z,Use as per-topic person watch source
R-SRC-003,R-TOPIC-004,repo,OpenClaw,Peter Steinberger (petestei),https://github.com/petestei/openclaw,Reference framework for robust evolvable agent system design patterns,pending,2026-02-22T00:00:00Z,Extract design-for-evolution properties and adaptation ideas for DNA Calc
R-SRC-004,R-TOPIC-004,person,Peter Steinberger GitHub profile,Peter Steinberger (petestei),https://github.com/petestei,Track design decisions and ecosystem context around OpenClaw,pending,2026-02-22T00:00:00Z,Use as per-topic person watch source
R-SRC-005,R-TOPIC-005,person,Peter Sestoft homepage,Peter Sestoft,https://www.itu.dk/~sestoft,High-priority spreadsheet implementation and extension research source,pending,2026-02-22T00:00:00Z,Track publications projects and implementation insights
R-SRC-006,R-TOPIC-005,index,ITU bachelor project list,Peter Sestoft and students,https://studwww.itu.dk/~sestoft/itu/bachelorprojekter.html,Potential pipeline of relevant spreadsheet-related student work,pending,2026-02-22T00:00:00Z,Screen for spreadsheet runtime language and tooling topics
R-SRC-007,R-TOPIC-005,person,Felienne Hermans publication/profile sweep,Felienne Hermans,to_resolve_in_research_run,High-priority research input on spreadsheet usage and future evolution,pending,2026-02-22T00:00:00Z,Resolve canonical publication index and key papers during first focused run
R-SRC-008,R-TOPIC-006,product,OpenOffice Calc,Apache OpenOffice,https://www.openoffice.org/product/calc.html,Baseline non-Excel spreadsheet system for capability and architecture comparison,pending,2026-02-22T00:00:00Z,Capture feature model interoperability and extensibility notes
R-SRC-009,R-TOPIC-006,product,WPS Spreadsheet,WPS Office,https://www.wps.com/office/spreadsheet/,Commercial non-Excel spreadsheet system for behavior and UX capability comparison,pending,2026-02-22T00:00:00Z,Capture compatibility claims and notable workflow differences
R-SRC-010,R-TOPIC-006,query_seed,Additional spreadsheet systems landscape sweep,Research sweep seed,to_be_discovered_in_research_runs,Ensure landscape covers major open source and proprietary systems beyond seeded list,pending,2026-02-22T00:00:00Z,Include LibreOffice Google Sheets Apple Numbers Gnumeric and others discovered
