source_id,source_url,local_path,kind,status,sha256
discovered,https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OE376/%5bMS-OE376%5d-171212.pdf,C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OE376\[MS-OE376]-171212.pdf,download_artifact,downloaded,fc69605ebed052a18f28127177d247dea90810207bbec475f3753f3b948bcf9b
discovered,https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OE376/%5bMS-OE376%5d-220816.docx,C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OE376\[MS-OE376]-220816.docx,download_artifact,downloaded,823374c771b69d70cf4266ac8f6468e3b8079c5018fde4287ad39fd4b2b01974
discovered,https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OE376/%5bMS-OE376%5d.pdf,C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OE376\[MS-OE376].pdf,download_artifact,downloaded,88e9302395e9aa67e7feaf2dbac022dfd6abfadb44fa91066e10ab1e51cdac5a
discovered,https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OI29500/%5bMS-OI29500%5d-241112.pdf,C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OI29500\[MS-OI29500]-241112.pdf,download_artifact,downloaded,57f11b05f053fc512c770516b6461576964b7dac8275e66991ffb39718aa4c75
discovered,https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OI29500/%5bMS-OI29500%5d-250218.docx,C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OI29500\[MS-OI29500]-250218.docx,download_artifact,downloaded,d35cbb01457cd06678e2263ba751811acb22cecc09634548142f6699026badb5
discovered,https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OI29500/%5bMS-OI29500%5d.pdf,C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OI29500\[MS-OI29500].pdf,download_artifact,downloaded,2212feb8506cd0399835427d971f14fd0b38257769339076c565343f8704e4ca
discovered,https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-XLSX/%5bMS-XLSX%5d-250916.pdf,C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-XLSX\[MS-XLSX]-250916.pdf,download_artifact,downloaded,d16a975af2442016aba9a9d332087c638946445f508afcc674956a7ab8eb9151
discovered,https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-XLSX/%5bMS-XLSX%5d-260108.docx,C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-XLSX\[MS-XLSX]-260108.docx,download_artifact,downloaded,8bdea2143ec7478df201b91184c66cbc4f2ae92fd3462d4d14dd9b5d4590fbfa
discovered,https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-XLSX/%5bMS-XLSX%5d.pdf,C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-XLSX\[MS-XLSX].pdf,download_artifact,downloaded,81aeb7f35ce906eb673eabb05a6dfb5d36ec7a5fb1fb8caf7f82812cceab42cc
MS-OFFSTANDLP,https://learn.microsoft.com/en-us/openspecs/office_standards/ms-oe376/db9b9b72-b10b-4e7e-844c-09f88c972219,C:\Work\DnaCalc\Foundation\reference\downloads\learn.microsoft.com\en-us\openspecs\office_standards\ms-oe376\db9b9b72-b10b-4e7e-844c-09f88c972219.md,openspec_page,downloaded,387334a7f5cf768a471445158585fbf31b8986a80b4b920a7198019637e31ef0
MS-OFFSTANDLP,https://learn.microsoft.com/en-us/openspecs/office_standards/ms-oi29500/1fd4a662-8623-49c0-82f0-18fa91b413b8,C:\Work\DnaCalc\Foundation\reference\downloads\learn.microsoft.com\en-us\openspecs\office_standards\ms-oi29500\1fd4a662-8623-49c0-82f0-18fa91b413b8.md,openspec_page,downloaded,5dec0cf3ea40cb28d57436595f8e3a60280980ea219b975468c0e839997e285c
MS-OFFSTANDLP,https://learn.microsoft.com/en-us/openspecs/office_standards/ms-xlsx/2c5dee00-eff2-4b22-92b6-0738acd4475e,C:\Work\DnaCalc\Foundation\reference\downloads\learn.microsoft.com\en-us\openspecs\office_standards\ms-xlsx\2c5dee00-eff2-4b22-92b6-0738acd4475e.md,openspec_page,downloaded,e10a0e5a4c37246fd326e9dc281a0e0bd3124d4cc5fd60051a41937119aeae4c
